iter	Passed	Remaining
0	197	197687
1	200	100261
2	203	67714
3	209	52212
4	213	42465
5	218	36168
6	224	31845
7	228	28322
8	232	25559
9	236	23367
10	238	21466
11	241	19878
12	244	18571
13	249	17571
14	253	16622
15	256	15799
16	260	15052
17	265	14483
18	271	14022
19	275	13502
20	279	13039
21	282	12564
22	285	12109
23	287	11676
24	290	11315
25	293	10985
26	296	10678
27	299	10381
28	300	10076
29	303	9827
30	308	9635
31	309	9377
32	312	9170
33	316	8994
34	319	8805
35	322	8641
36	325	8471
37	328	8312
38	331	8177
39	334	8034
40	337	7898
41	339	7738
42	343	7641
43	346	7518
44	348	7403
45	351	7288
46	353	7176
47	366	7275
48	374	7276
49	378	7187
50	382	7112
51	386	7039
52	389	6962
53	392	6877
54	396	6811
55	399	6727
56	401	6648
57	404	6572
58	407	6505
59	409	6413
60	412	6349
61	415	6285
62	418	6224
63	421	6168
64	424	6107
65	427	6048
66	430	5988
67	433	5938
68	436	5889
69	439	5836
70	442	5786
71	444	5734
72	447	5677
73	450	5637
74	454	5604
75	457	5557
76	460	5516
77	463	5483
78	466	5442
79	469	5404
80	472	5361
81	475	5318
82	479	5294
83	482	5257
84	484	5218
85	489	5197
86	493	5177
87	496	5145
88	499	5109
89	501	5073
90	504	5038
91	507	5012
92	511	4991
93	514	4962
94	517	4928
95	520	4899
96	523	4875
97	526	4845
98	528	4807
99	531	4780
100	534	4756
101	537	4729
102	540	4707
103	543	4681
104	546	4658
105	549	4637
106	552	4614
107	555	4591
108	558	4569
109	562	4550
110	565	4532
111	568	4510
112	571	4489
113	575	4472
114	578	4452
115	581	4434
116	584	4413
117	588	4399
118	591	4381
119	594	4360
120	597	4338
121	599	4317
122	602	4296
123	605	4277
124	608	4256
125	610	4237
126	613	4218
127	616	4200
128	619	4184
129	622	4166
130	625	4149
131	628	4136
132	631	4119
133	634	4102
134	637	4084
135	640	4070
136	643	4055
137	646	4039
138	649	4021
139	651	4004
140	655	3993
141	658	3981
142	662	3968
143	664	3951
144	667	3936
145	670	3923
146	673	3907
147	675	3888
148	678	3872
149	680	3858
150	684	3851
151	689	3844
152	692	3832
153	695	3822
154	699	3810
155	701	3796
156	704	3781
157	707	3772
158	714	3780
159	718	3772
160	721	3761
161	725	3751
162	729	3746
163	732	3736
164	736	3726
165	739	3717
166	744	3711
167	747	3701
168	750	3691
169	754	3685
170	758	3676
171	762	3670
172	766	3664
173	770	3658
174	774	3650
175	777	3640
176	781	3632
177	784	3623
178	788	3614
179	791	3603
180	794	3595
181	798	3587
182	801	3578
183	805	3570
184	808	3562
185	812	3554
186	815	3546
187	819	3539
188	822	3529
189	826	3521
190	829	3513
191	833	3506
192	836	3497
193	840	3491
194	844	3484
195	848	3481
196	853	3478
197	856	3469
198	859	3461
199	863	3453
200	867	3448
201	871	3441
202	875	3439
203	879	3433
204	884	3429
205	888	3423
206	906	3473
207	909	3461
208	913	3458
209	917	3450
210	922	3447
211	925	3441
212	929	3433
213	943	3465
214	948	3462
215	953	3459
216	958	3456
217	960	3445
218	963	3436
219	967	3429
220	972	3428
221	975	3418
222	979	3414
223	987	3421
224	997	3436
225	1005	3442
226	1016	3462
227	1026	3474
228	1031	3472
229	1035	3467
230	1041	3467
231	1045	3461
232	1050	3459
233	1058	3464
234	1066	3472
235	1076	3484
236	1080	3479
237	1088	3486
238	1095	3486
239	1105	3501
240	1125	3543
241	1134	3554
242	1139	3548
243	1148	3557
244	1153	3553
245	1162	3564
246	1168	3562
247	1175	3563
248	1181	3563
249	1197	3593
250	1203	3591
251	1207	3585
252	1215	3589
253	1219	3581
254	1224	3576
255	1231	3579
256	1246	3604
257	1252	3601
258	1269	3632
259	1276	3631
260	1279	3624
261	1287	3627
262	1291	3618
263	1302	3631
264	1308	3628
265	1316	3632
266	1322	3630
267	1327	3627
268	1334	3626
269	1339	3621
270	1346	3622
271	1351	3616
272	1359	3619
273	1367	3622
274	1377	3630
275	1381	3624
276	1385	3616
277	1397	3630
278	1415	3658
279	1434	3688
280	1441	3687
281	1450	3692
282	1454	3684
283	1459	3680
284	1463	3672
285	1467	3664
286	1472	3657
287	1476	3649
288	1479	3639
289	1483	3632
290	1487	3624
291	1491	3616
292	1494	3605
293	1498	3597
294	1500	3586
295	1504	3578
296	1507	3569
297	1511	3560
298	1514	3550
299	1517	3541
300	1521	3534
301	1525	3526
302	1528	3516
303	1532	3507
304	1535	3500
305	1539	3492
306	1543	3484
307	1546	3475
308	1549	3466
309	1552	3456
310	1556	3447
311	1558	3437
312	1561	3427
313	1564	3418
314	1571	3418
315	1577	3414
316	1582	3408
317	1586	3401
318	1589	3393
319	1592	3384
320	1599	3382
321	1602	3373
322	1605	3364
323	1607	3354
324	1612	3349
325	1616	3341
326	1618	3332
327	1621	3322
328	1625	3314
329	1628	3306
330	1630	3296
331	1633	3286
332	1636	3277
333	1639	3268
334	1644	3264
335	1648	3258
336	1652	3250
337	1656	3243
338	1660	3238
339	1664	3230
340	1666	3220
341	1670	3213
342	1674	3208
343	1678	3200
344	1681	3192
345	1685	3186
346	1690	3180
347	1693	3173
348	1696	3164
349	1699	3156
350	1704	3151
351	1708	3144
352	1710	3135
353	1713	3127
354	1717	3120
355	1721	3114
356	1724	3106
357	1727	3097
358	1730	3089
359	1734	3084
360	1738	3076
361	1741	3069
362	1745	3062
363	1749	3056
364	1753	3050
365	1756	3042
366	1759	3034
367	1762	3027
368	1767	3022
369	1771	3015
370	1773	3007
371	1776	2999
372	1781	2995
373	1784	2987
374	1787	2979
375	1790	2971
376	1797	2969
377	1800	2963
378	1804	2956
379	1809	2952
380	1813	2946
381	1817	2939
382	1820	2932
383	1828	2932
384	1831	2926
385	1834	2918
386	1838	2912
387	1843	2907
388	1845	2899
389	1848	2891
390	1851	2884
391	1856	2878
392	1859	2871
393	1861	2863
394	1865	2857
395	1869	2850
396	1871	2843
397	1874	2835
398	1876	2827
399	1880	2821
